,Pos,Team,Weighted Matches,Points,Rating
0,1, England ,55,"6,918",126
1,2, India ,58,"7,000",121
2,3, New Zealand ,43,"4,803",112
3,4, South Africa ,45,"4,985",111
4,5, Pakistan ,43,"4,370",102
5,6, Australia ,40,"3,980",100
6,7, Bangladesh ,39,"3,608",93
7,8, Sri Lanka ,54,"4,240",79
8,9, West Indies ,40,"2,899",72
9,10, Afghanistan ,36,"2,394",67
10,11, Zimbabwe ,48,"2,497",52
11,12, Ireland ,23,904,39
12,13, Scotland ,16,535,33
13,14, UAE ,14,298,21
