Item Size,Mostly High,Mostly Low
"",16.75,16.5
jbo,154.75,140
lge,140,140
lge,145,140
med,145,140
med,150,150
med-lge,154.75,150
sml,15,14.5
sml,135,123.5
sml,135,135
sml,150,150
sml,286,210
xlge,154.75,145
